belebele_lang	goldfish_used	goldfish	xglm7b5	xglm4b5	bloom7b1	mala500
acm_arab	arb_arab	0.3044444444	0.3455555556	0.3122222222	0.3488888889	0.2966666667
afr_latn	afr_latn	0.2877777778	0.3255555556	0.3022222222	0.2977777778	0.3177777778
als_latn	sqi_latn	0.2877777778	0.2866666667	0.31	0.2944444444	0.3211111111
amh_ethi	amh_ethi	0.2822222222	0.2788888889	0.2844444444	0.2477777778	0.2822222222
apc_arab	apc_arab	0.2477777778	0.3177777778	0.2966666667	0.3411111111	0.2822222222
arb_arab	arb_arab	0.2722222222	0.3544444444	0.3444444444	0.3688888889	0.2933333333
arb_latn	mlt_latn	0.2366666667	0.2433333333	0.26	0.2466666667	0.2444444444
ars_arab	arb_arab	0.2844444444	0.34	0.3088888889	0.3533333333	0.3088888889
ary_arab	arb_arab	0.2633333333	0.31	0.3044444444	0.3144444444	0.2822222222
arz_arab	arz_arab	0.2777777778	0.3377777778	0.3022222222	0.35	0.2922222222
asm_beng	asm_beng	0.2733333333	0.2966666667	0.29	0.3066666667	0.3011111111
azj_latn	aze_latn	0.3177777778	0.2966666667	0.3111111111	0.3	0.3
bam_latn	bam_latn	0.2555555556	0.29	0.2888888889	0.2844444444	0.2788888889
ben_beng	ben_beng	0.2988888889	0.3033333333	0.2866666667	0.3366666667	0.2811111111
ben_latn	hin_latn	0.2788888889	0.3066666667	0.2911111111	0.2944444444	0.2955555556
bod_tibt	bod_tibt	0.2488888889	0.2377777778	0.2433333333	0.2344444444	0.2611111111
bul_cyrl	bul_cyrl	0.2788888889	0.3733333333	0.3377777778	0.3233333333	0.3488888889
cat_latn	cat_latn	0.2933333333	0.3811111111	0.3566666667	0.4077777778	0.3988888889
ceb_latn	ceb_latn	0.2622222222	0.3011111111	0.2922222222	0.28	0.2977777778
ces_latn	ces_latn	0.2933333333	0.3222222222	0.3444444444	0.3188888889	0.36
ckb_arab	ckb_arab	0.28	0.2911111111	0.2688888889	0.2844444444	0.2955555556
dan_latn	dan_latn	0.2977777778	0.3077777778	0.3255555556	0.3188888889	0.3588888889
deu_latn	deu_latn	0.3255555556	0.3711111111	0.3577777778	0.3377777778	0.3488888889
ell_grek	ell_grek	0.3033333333	0.3944444444	0.3333333333	0.28	0.3133333333
eng_latn	eng_latn	0.3055555556	0.3922222222	0.3311111111	0.3922222222	0.4033333333
est_latn	est_latn	0.2933333333	0.3411111111	0.2988888889	0.2922222222	0.28
eus_latn	eus_latn	0.3066666667	0.3488888889	0.3033333333	0.3755555556	0.3088888889
fin_latn	fin_latn	0.2911111111	0.3733333333	0.3477777778	0.3077777778	0.3355555556
fra_latn	fra_latn	0.3155555556	0.4	0.3733333333	0.4055555556	0.3977777778
fuv_latn	fuv_latn	0.2711111111	0.2588888889	0.2566666667	0.25	0.2644444444
gaz_latn	orm_latn	0.2711111111	0.2833333333	0.2722222222	0.2822222222	0.2766666667
grn_latn	grn_latn	0.2444444444	0.3022222222	0.2877777778	0.3022222222	0.29
guj_gujr	guj_gujr	0.2755555556	0.2688888889	0.2744444444	0.2811111111	0.2777777778
hat_latn	hat_latn	0.2677777778	0.2966666667	0.2833333333	0.2855555556	0.2955555556
hau_latn	hau_latn	0.2566666667	0.2688888889	0.2622222222	0.2755555556	0.2688888889
