flores_lang	goldfish_used	goldfish_5mb	goldfish_10mb	goldfish_100mb	goldfish_full	goldfish_1000mb	ngram1	ngram2	data_category	xglm4b5	xglm7b5	mala500	bloom7b1	in_mala500	in_xglm4b5	in_xglm7b5	in_bloom7b1
ace_arab	urd_arab	349.4890747	341.8383836	308.6173768		287.5478092	393.0989151	365.5925273	5mb	260.497895	263.323758	251.9177978	232.7619161	FALSE	FALSE	FALSE	FALSE
ace_latn	ace_latn	174.1798488	165.3718061		144.6197175		197.9069602	169.3307435	10mb	202.6748099	208.6396127	133.0998523	198.5026757	TRUE	FALSE	FALSE	FALSE
acm_arab	arb_arab	146.5551825	138.9796099	111.5831316		96.59974208	156.8942527	124.4762371	5mb	93.25213171	88.91179358	102.6516513	85.28128711	TRUE	FALSE	FALSE	FALSE
acq_arab	arb_arab	146.1169125	138.9675199	110.5711122		95.53856169	157.9837702	124.9378813	5mb	92.13518447	88.09259927	105.3826262	82.8792288	FALSE	FALSE	FALSE	FALSE
aeb_arab	arb_arab	160.2835145	153.3225437	130.6398832		116.0099599	167.8652926	140.3033692	5mb	113.8417426	108.9765055	120.8796288	102.7580392	FALSE	FALSE	FALSE	FALSE
afr_latn	afr_latn	127.2421182	119.0800805	93.37496663		79.87592644	148.0934883	115.5694825	1000mb	79.54019393	162.7308066	85.61059485	153.0515244	TRUE	TRUE	FALSE	FALSE
ajp_arab	arb_arab	145.8753306	138.3972875	114.3840069		98.9213414	154.3679862	125.2821825	1000mb	96.24902057	91.49051128	103.5635625	85.72672197	TRUE	FALSE	FALSE	FALSE
aka_latn	aka_latn	158.1194038	150.8897392		132.4762102		201.3093993	162.5144102	10mb	234.9300637	239.6787552	128.3738805	187.6644799	TRUE	FALSE	FALSE	TRUE
als_latn	sqi_latn	133.3791573	122.3179347	90.96485467		77.27540902	159.8240401	119.9132576	1000mb	76.3726299	220.7847928	89.49114881	178.5819322	TRUE	TRUE	FALSE	FALSE
amh_ethi	amh_ethi	128.8034218	121.2910915	95.19044585		83.36154502	143.8983855	111.874875	1000mb	110.5424749	266.9565871	108.990841	195.1429939	TRUE	TRUE	FALSE	FALSE
apc_arab	apc_arab	175.2830093			173.1787388		192.3483058	179.3704308	5mb	99.97184159	94.47103455	106.5821165	87.37838389	TRUE	FALSE	FALSE	FALSE
arb_arab	arb_arab	139.362452	131.3524866	98.16038067		82.42939069	155.7407443	117.6086923	1000mb	79.33058906	75.06575623	96.83587347	69.24294776	TRUE	TRUE	TRUE	TRUE
arb_latn	mlt_latn	344.6368824	328.9088508	274.2241101		245.9706813	372.5083187	346.8045664	5mb	211.128393	226.1358954	229.0674466	221.6041263	FALSE	TRUE	FALSE	FALSE
ars_arab	arb_arab	140.5393794	132.6026253	99.43005587		83.68404566	156.4595801	118.4999657	1000mb	80.72162629	76.51387188	98.24871835	70.74667714	FALSE	FALSE	FALSE	FALSE
ary_arab	arb_arab	176.0722663	166.9893468	145.0649643		128.656855	181.1614767	155.5461927	5mb	131.7983637	125.8765639	123.2953719	114.3006677	TRUE	FALSE	FALSE	FALSE
arz_arab	arz_arab	158.1270022	150.0207155	118.9925809	116.9817218		181.3993706	146.5044731	100mb	98.71872408	92.96075148	112.8372825	87.41692735	TRUE	FALSE	FALSE	FALSE
asm_beng	asm_beng	130.4417501	123.9711751	100.2713938	93.77567258		152.0360816	118.7853824	100mb	135.6010949	227.4012578	108.1995916	113.7391734	TRUE	TRUE	FALSE	TRUE
ast_latn	ast_latn	124.8004796	117.2822546	91.64499291	86.8596101		158.2175134	118.3624851	100mb	113.2992556	112.3120916	82.54361349	99.38969079	TRUE	FALSE	FALSE	FALSE
awa_deva	hin_deva	190.853353	185.5854254	149.3528279		128.7015508	195.0276141	169.0467263	5mb	148.8083293	135.8398504	141.4955425	123.2775626	FALSE	FALSE	FALSE	FALSE
ayr_latn	aym_latn	144.0777773	135.9488713		123.3273325		178.8400014	148.8093837	10mb	239.2977382	231.8180717	146.851752	228.5873217	TRUE	FALSE	FALSE	FALSE
azb_arab	aze_arab	194.0131055	187.2785937	165.8580731	154.2416237		208.6547244	185.830403	100mb	163.3163645	218.1190371	165.8539949	225.6269343	TRUE	TRUE	FALSE	FALSE
azj_latn	aze_latn	124.4220057	116.4503887	87.60508452		74.27904732	150.4919945	106.3125385	1000mb	75.33094518	183.1010957	84.13420736	185.8385865	TRUE	TRUE	FALSE	FALSE
bak_cyrl	bak_cyrl	121.4915745	113.364955	87.62141184	79.24202706		149.3465354	108.3428198	100mb	259.934717	272.1916559	92.72119561	209.6346106	TRUE	FALSE	FALSE	FALSE
bam_latn	bam_latn	168.7954608	161.1641439		158.8813562		190.4932264	175.2513636	10mb	188.3103122	212.4477754	143.1357767	203.8203588	TRUE	TRUE	FALSE	TRUE
ban_latn	ban_latn	140.5968211	133.2900233		121.1561866		159.8311941	137.5670972	10mb	154.0908103	183.021905	114.4060969	188.3854104	TRUE	FALSE	FALSE	FALSE
bel_cyrl	bel_cyrl	145.3589705	135.2880778	96.87578595		79.50234735	172.6415637	124.5253624	1000mb	81.13113015	226.9933306	91.21531576	211.84942	TRUE	TRUE	FALSE	FALSE
bem_latn	bem_latn	182.5139168	171.5015303		150.3919969		206.1252413	174.1966392	10mb	218.5074771	188.1389492	158.6135879	237.9836865	TRUE	FALSE	FALSE	FALSE
ben_beng	ben_beng	124.3368978	117.2484904	91.98107404		80.71055886	141.7971379	109.0797318	1000mb	90.55420216	79.77603642	94.61597134	76.54027037	TRUE	TRUE	TRUE	TRUE
bho_deva	bho_deva	142.4517951	134.9847279		121.8766895		166.04454	138.4536852	10mb	168.8416619	149.8776707	130.4754403	120.9701723	FALSE	FALSE	FALSE	FALSE
bjn_arab	urd_arab	366.9598962	356.4707013	320.9677245		297.574315	406.5541692	383.8178513	5mb	260.0508932	261.9423739	257.1532001	238.4180055	FALSE	FALSE	FALSE	FALSE
bjn_latn	bjn_latn	148.2105272	138.2660095		111.8976191		167.7532634	140.4018205	10mb	151.7553485	150.8216709	104.3722324	153.7637421	TRUE	FALSE	FALSE	FALSE
bod_tibt	bod_tibt	149.3645691	142.8612901	121.3881142	118.5792104		165.1425005	142.6514207	100mb	134.4716756	137.2619273	120.9413689	206.0562011	TRUE	FALSE	FALSE	FALSE
bos_latn	bos_latn	131.8762962	123.3278904	90.1976611		73.84052616	152.4317327	113.423899	1000mb	63.6749922	155.2732673	67.74762578	135.7733571	TRUE	TRUE	FALSE	FALSE
bug_latn	bug_latn	182.7886508	174.4060223		172.6298626		196.0108628	181.7999513	10mb	206.5653547	214.0728994	211.2059731	218.7781615	FALSE	FALSE	FALSE	FALSE
bul_cyrl	bul_cyrl	125.7453571	117.096521	85.12754799		71.35612993	149.5704909	109.9375177	1000mb	64.507249	59.03139046	70.69279141	148.715192	TRUE	TRUE	TRUE	FALSE
cat_latn	cat_latn	132.1094189	122.0758882	90.70261805		76.30353038	160.7064092	115.9757528	1000mb	65.92729811	60.64582956	66.57147494	60.54502832	TRUE	TRUE	TRUE	TRUE
ceb_latn	ceb_latn	136.7049338	128.642392	103.6384495	94.03879806		162.909184	125.04749	100mb	111.220356	192.8162865	103.374668	171.75045	TRUE	FALSE	FALSE	FALSE
