lang	category	byte_premium	1000mb_scaled_mb	1000mb_tokens	100mb_scaled_mb	100mb_tokens	10mb_scaled_mb	10mb_tokens	5mb_scaled_mb	5mb_tokens	full_scaled_mb	full_tokens	proportions
abk_cyrl	10mb	2.014757281					10.00191207	2589696	5.00039542	1320448	25.24421023	6408192	tatoeba:1.6282131803783773e-05,wiki:0.03676176059752277,glot500:0.9632219572706735
abq_cyrl	dropped	1.61816775											webcorpora:1.0
ace_latn	10mb	1.241956888					10.00103492	3130368	5.000461099	1594880	71.09070238	21666816	nusa:0.001453086428704468,wiki:0.019763940114252605,nllb:0.9409064412082775,glot500:0.037876532248765464
acm_arab	dropped	1.550152569											tatoeba:0.0004977110852447527,glot500:0.9995022889147552
acr_latn	dropped	1.54049736											bible:0.5165656831717432,glot500:0.4834343168282567
ady_cyrl	10mb	1.806684783					10.00071688	2749440	5.000810926	1395200	15.22007949	4124160	webcorpora:0.2294295191004066,tatoeba:1.1098866545070548e-05,wiki:0.015730204940290482,madlad400:0.7548291770927579
afb_arab	10mb	1.374141124					10.0018448	2306048	5.000665878	1185280	14.24963266	3247616	tatoeba:0.00015394145544872704,glot500:0.9998460585445512
afr_latn	1000mb	1.03722598	1000.001788	239682048	100.0012678	23968768	10.00045718	2460672	5.001534958	1250816			oscar:0.021339830471675994,wiki:0.023906086092832235,nllb:0.13072087317965447,glot500:0.16340802131267107,madlad400:0.6606251889431662
aii_syrc	dropped	1.896699504											tatoeba:8.688911805258621e-06,bible:0.9999913110881947
aka_latn	10mb	1.574942782					10.00086427	4636672	5.000588651	2353664	49.50539658	22551040	nllb:0.554372774777886,wortschatz:0.0007954860821860417,bible:0.10297161121475798,glot500:0.04841133841003344,madlad400:0.24297216633389188,wiki:0.050476623181244615
als_latn	100mb	1.167247178			100.0000131	26042880	10.00082778	2690560	5.000855099	1376256	336.301364	87609344	wiki:0.1376857773777609,bible:0.008479645680564755,glot500:0.8538345769416743
alt_cyrl	10mb	1.856580455					10.00235996	2324992	5.001390043	1192960	11.65124891	2694144	webcorpora:0.3473796680206804,glot500:0.07036745169703736,madlad400:0.5822528802822823
amh_ethi	1000mb	1.720917143	1000.000905	211767808	100.0020947	21179904	10.000238	2212864	5.000556846	1136128			oscar:0.06488070576974128,wiki:0.004897065694645176,nllb:0.23099416541212228,bible:0.000336095266596653,glot500:0.3599035683235755,madlad400:0.33898839953331905
ang_latn	5mb	1.289057339							5.001065356	1548800	5.468944466	1671168	tatoeba:0.0009322921498380793,wiki:0.0777617694359721,madlad400:0.9213059384141898
anw_latn	dropped	1.205181947											wortschatz:1.0
aoj_latn	dropped	1.574274874											bible:0.5002875686081896,glot500:0.49971243139181043
apc_arab	5mb	1.473448613							5.001247369	1219072	7.056026866	1687040	tatoeba:1.6696541107440757e-06,glot500:0.9999983303458893
arb_arab	1000mb	1.465017978	1000.001827	196197376	100.0001428	19608064	10.00202743	2046464	5.000425326	1050624			oscar:0.9985570902296856,bible:0.0014429097703143297
arg_latn	10mb	1.192925647					10.00058514	2978304	5.001040731	1515520	42.82412738	12469760	tatoeba:1.4889812540365755e-05,oscar:0.004487829182828282,wiki:0.38240935317636365,glot500:0.6130879278282677
arn_latn	dropped	1.340611643											bible:0.49168411943231094,glot500:0.5083158805676891
arq_arab	dropped	1.410136911											tatoeba:0.04833360723782073,bible:0.9516663927621792
ary_arab	dropped	1.541968925											tatoeba:0.0003984821184848112,glot500:0.9996015178815152
arz_arab	100mb	1.551170046			100.0011314	24773632	10.00110033	2653184	5.00020881	1360384	122.3816052	30322176	tatoeba:9.807958802240832e-05,oscar:0.08342662784615906,wiki:0.8418988299201892,bible:0.0009532571268771225,glot500:0.0736232055187523
asm_beng	100mb	2.526329303			100.0014474	22117376	10.00140558	2303488	5.00227068	1166336	348.8770027	77216256	oscar:0.0532777264735282,wiki:0.044787470318438605,nllb:0.18995288032470423,bible:0.005826771950469842,glot500:0.4477996070381753,madlad400:0.2583555438946838
ast_latn	100mb	1.748880208			100.0005983	41352704	10.00062214	4232704	5.000803383	2150400	225.6800986	93333504	oscar:0.002830649218265964,wiki:0.2337354825467048,nllb:0.24643208945607292,glot500:0.5170017787789564
ava_cyrl	10mb	1.938794023					10.00155703	2655744	5.000412568	1340416	30.73046249	8009728	webcorpora:0.22754734503980217,oscar:0.00420180878623199,wiki:0.0623002886432602,madlad400:0.7059505575307057
awa_deva	dropped	2.70147869											nllb:1.0
aym_latn	10mb	1.213786361					10.00060257	3058688	5.001652842	1561088	30.73525063	9201152	americasnlp:0.027381366603727184,wiki:0.03900259909646109,wortschatz:0.005396034619974226,glot500:0.07181959747074507,madlad400:0.24442454923217813,nllb:0.6119758529769144
ayr_latn	10mb	1.097680523					10.00065149	2749440	5.00026653	1406464	28.36848825	7641088	nllb:1.0,glot500:0.0
azb_arab	100mb	1.490422093			100.0013838	25029120	10.001677	2577408	5.001324269	1311744	107.5640147	26922496	oscar:0.11521669983992891,wiki:0.42379282499859233,nllb:0.4602647768188804,glot500:0.0007256983425983976
aze_arab	100mb	1.198662364			100.0018084	21145600	10.00073028	2203136	5.000433969	1126400	267.2584656	56526848	glot500:0.504734089872512,oscar:0.057104344236075286,wiki:0.2100425667209716,nllb:0.22811899917044112
aze_cyrl	10mb	1.818803281					10.00209049	2152960	5.000684292	1100288	17.1164954	3627008	madlad400:1.0
aze_grek	dropped	1.544387288											glot500:1.0
aze_latn	1000mb	1.29878361	1000.002024	233091584	100.0006414	23309312	10.00012543	2409984	5.001938702	1229824			oscar:0.18623478527760107,glot500:0.8137652147223989
aze_thaa	dropped	1.498563109											glot500:1.0
azj_latn	100mb	1.076115956			100.002591	18049024	10.00209134	1880064	5.002405187	959488	149.8239918	27041792	glot500:1.0
bak_cyrl	100mb	2.27194034			100.0014019	29721088	10.00015344	3043840	5.00086195	1554944	398.3576144	118369280	webcorpora:0.07939194350498274,oscar:0.03896147442771088,wiki:0.11911025179659912,nllb:0.16957645715054895,glot500:0.2993711062357802,madlad400:0.2935887668843781
bak_latn	5mb	1.19129188							5.000088484	1210880	7.531640966	1793024	glot500:1.0
bam_latn	10mb	1.256878532					10.0013165	3532288	5.000328065	1792512	12.83722936	4511744	wiki:0.018815926673463143,nllb:0.6790603069726857,wortschatz:0.047532780920515355,glot500:0.10196330872562029,madlad400:0.15262767670771551
ban_latn	10mb	1.269543636					10.00091582	2938880	5.000691063	1504768	31.83768807	9161216	nusa:0.0030043146602199457,wiki:0.18068314902804844,nllb:0.7001947619687485,glot500:0.11611777434298311
bar_latn	10mb	1.129561954					10.00105335	2929152	5.000158389	1490944	27.68176913	7961600	tatoeba:8.01701071151786e-05,wiki:0.3591236717256287,glot500:0.6407961581672561
bas_latn	dropped	1.358810039											madlad400:1.0
bbc_latn	5mb	1.332303573							5.001247566	1442304	6.477868991	1846784	nusa:0.014621160574749126,madlad400:0.9853788394252508
bcl_latn	5mb	1.218848876							5.000342869	1420800	9.491292617	2638336	wiki:0.45264448125249823,glot500:0.5473555187475018
bel_cyrl	1000mb	2.007901403	1000.000366	254138368	100.0018949	25410048	10.00056127	2635264	5.00026395	1347584			oscar:0.14985271198367367,bible:0.001087149233337004,glot500:0.1904732284458036,madlad400:0.6585869103371857
bem_latn	10mb	1.155237492					10.00109983	2942976	5.001416839	1502720	35.35389737	10177024	nllb:0.9999218965140682,glot500:7.810348593187667e-05
ben_beng	1000mb	2.430759774	1000.000757	194737152	100.0000539	19471872	10.00010091	2024448	5.001722568	1033728			oscar:0.995452670968439,bible:0.004547329031560939
ben_latn	dropped	1.182569495											madlad400:1.0
bew_cyrl	10mb	1.740538562					10.0019429	2305536	5.000450633	1186816	23.52068717	5288960	wortschatz:0.5229435812510904,glot500:0.47705641874890964
bew_latn	10mb	1.300925888					10.00187875	2704384	5.000657653	1378816	11.83817244	3186176	nusa:0.5156687192035135,glot500:0.01694960528180102,madlad400:0.46738167551468546
bgp_latn	5mb	1.288416545							5.000930814	1567232	5.637162942	1735680	madlad400:1.0
bho_deva	10mb	2.515275311					10.00015382	2645504	5.000907036	1354752	23.74169131	6156800	nllb:0.4596562128744566,wiki:0.14965205457705055,madlad400:0.3906917325484928
bih_deva	dropped	2.558676782											oscar:0.007787113331449645,wortschatz:0.13960722224056235,glot500:0.852605664427988
bik_latn	10mb	1.272069912					10.00094718	2872832	5.001464887	1467904	19.25505019	5440512	glot500:0.4321685143561578,madlad400:0.29793602273558906,wiki:0.26989546290825317
bis_latn	dropped	1.278963868											wiki:0.09002337582715043,glot500:0.10042748914724449,madlad400:0.8095491350256051
bjn_latn	10mb	1.166394033					10.00111643	2742784	5.001259094	1393152	93.17248335	25012224	nusa:0.0012236923469757428,wiki:0.035352357813988024,nllb:0.9026393560752431,bible:0.0007900145571541445,glot500:0.059994579206638955
bod_tibt	100mb	2.616914857			100.0005003	17793536	10.00145417	1868800	5.001150482	986624	131.9397729	23463424	oscar:0.3545937788577034,wiki:0.10699147225299327,nllb:0.0163626438290905,bible:0.009332555102976448,glot500:0.2732631742276106,madlad400:0.2394563757296258
bos_cyrl	1000mb	1.148940187	1000.002067	232501760	100.0007801	23256576	10.0014458	2430464	5.00187657	1246208			madlad400:1.0
bos_latn	1000mb	0.9699882939	1000.001528	228266496	100.0004225	22827520	10.00161247	2363904	5.000776855	1200128			wiki:0.11383484984589655,nllb:0.17717911221993485,glot500:0.7089860379341686
bpy_beng	5mb	2.330506839							5.000194355	1127424	9.293509177	2019328	oscar:0.05005951262670801,wiki:0.2665811971657823,glot500:0.6833592902075096
bqc_latn	5mb	0.976139974							5.000706369	1332736	6.800255722	1806336	bible:0.5176714368257933,glot500:0.48232856317420664
bre_latn	100mb	1.01282485			100.0001007	26627072	10.00002123	2734080	5.001150001	1383424	163.1115893	43437056	tatoeba:0.0004595535699782053,oscar:0.07318193051166905,wiki:0.19167164795684868,bible:0.0013530384106821705,glot500:0.3293949144230029,madlad400:0.403938915127819
bsb_latn	5mb	1.308722105							5.00053911	1444864	8.688286299	2460672	glot500:1.0
btk_latn	dropped	1.344567008											nusa:1.0
bts_latn	dropped	1.297242351											madlad400:1.0
btx_latn	dropped	1.298569625											madlad400:1.0
bua_cyrl	10mb	1.701900789					10.00178983	2348544	5.002071835	1199104	39.09984086	8951808	tatoeba:7.21614206562236e-05,wortschatz:0.0038768959184064195,madlad400:0.08413744702727424,webcorpora:0.8997115731045479,oscar:3.856150548514461e-05,wiki:0.012163361023630151
bug_latn	10mb	1.22786025					10.00103334	3057664	5.001627139	1554944	10.72067377	3269632	nusa:0.06237849680654584,nllb:0.9376215031934542
bul_cyrl	1000mb	1.812315686	1000.001097	224346112	100.0008252	22427136	10.00132877	2323968	5.00187637	1181696			oscar:1.0
bul_latn	dropped	1.206296891											madlad400:1.0
bxr_cyrl	10mb	1.588863716					10.00094967	2441216	5.001261873	1266688	25.37553233	6060544	webcorpora:0.9866194298170392,oscar:4.2286363421290635e-05,wiki:0.013338283819539453
bzd_latn	dropped	1.353377066											americasnlp:0.21507166445845358,bible:0.7849283355415464
cab_latn	dropped	1.361783731											bible:0.20426880344208231,madlad400:0.7957311965579177
cak_latn	5mb	1.82231949							5.000696009	2454016	8.506742339	4157952	bible:0.6021516852944424,glot500:0.3978483147055576
cat_latn	1000mb	1.092622079	1000.001022	238915072	100.0010481	23899136	10.00209242	2442752	5.000097573	1235456			oscar:1.0
cbk_latn	dropped	1.455178167											tatoeba:0.015402654716448005,wiki:0.14478114293022967,bible:0.2661034583730507,glot500:0.5737127439802716
cce_latn	dropped	1.276399042											madlad400:1.0
cdo_latn	dropped	1.252225653											wiki:0.8523301299041373,wortschatz:0.14766987009586277
ceb_latn	100mb	1.113380333			100.0008871	25974272	10.0002943	2723328	5.00008383	1385984	540.2082955	140301312	oscar:0.045632381478363314,wiki:0.3646583076120428,nllb:0.25152508159087744,bible:0.004635875231835538,madlad400:0.3335483540868809
ces_latn	1000mb	1.035849214	1000.000892	206113280	100.0021699	20621312	10.00206099	2145280	5.000520283	1102336			oscar:0.9994543230230579,bible:0.0005456769769420656
cfm_latn	10mb	1.323887964					10.00149662	3089920	5.000498667	1579520	14.08589435	4315648	madlad400:1.0
cha_latn	dropped	1.005929007											tatoeba:0.00251344407091711,wiki:0.03127909483386449,bible:0.23174519480065486,madlad400:0.7344622662945636
che_cyrl	10mb	1.831603287					10.00127109	2823168	5.000586133	1424896	86.11235746	23590400	webcorpora:0.33551503002085886,tatoeba:2.691802447294168e-06,oscar:0.041131137479788055,wiki:0.14367985052716595,glot500:0.24118086054918197,madlad400:0.23849042962055786
chk_latn	dropped	1.162135723											bible:0.7991327495661277,glot500:0.2008672504338723
chm_cyrl	10mb	1.756255296					10.00224685	2350592	5.000094815	1194496	49.43276481	11290624	madlad400:0.12776831020634932,webcorpora:0.7338471153473572,tatoeba:0.0006194108907885934,oscar:0.02657465765141835,wiki:0.0509680591819615,glot500:0.06022244672212492
chr_cher	dropped	1.74952435											cherokeedictionary:0.15356385448899407,chr_en:0.4574720057080369,tatoeba:0.00010778723210442708,wiki:0.04514571559665139,madlad400:0.3437106369742132
