xcopa_lang	goldfish_used	goldfish	xglm4b5	xglm7b5	bloom7b1	mala500
et	est_latn	0.52	0.552	0.614	0.482	0.53
ht	hat_latn	0.554	0.514	0.574	0.508	0.506
id	ind_latn	0.584	0.668	0.694	0.698	0.61
it	ita_latn	0.538	0.614	0.636	0.528	0.606
qu	que_latn	0.512	0.5	0.488	0.508	0.506
sw	swa_latn	0.55	0.562	0.6	0.518	0.536
ta	tam_taml	0.554	0.554	0.544	0.592	0.562
th	tha_thai	0.55	0.554	0.594	0.554	0.55
tr	tur_latn	0.562	0.572	0.584	0.512	0.53
vi	vie_latn	0.574	0.66	0.702	0.708	0.562
zh	zho_hans	0.542	0.616	0.638	0.652	0.622
