lang	byte_premium	original_mb	scaled_mb
aai_latn	1.175442847	1.16156	0.9881892624
aak_latn	2.277184521	2.342025	1.028473968
aau_latn	1.551029691	1.472863	0.9496033561
aaz_latn	1.680613015	1.967371	1.170627017
abk_cyrl	2.014757281	52.099327	25.85886027
abp_latn	1.331510137	1.210666	0.9092427961
abq_cyrl	1.61816775	1.246982	0.7706135533
abt_latn	1.877271377	3.760333	2.003084395
abx_latn	1.359783776	1.287791	0.9470557178
aby_latn	1.338780828	1.386609	1.035725169
acd_latn	1.710619186	1.643086	0.9605212039
ace_latn	1.241956888	90.715651	73.0425121
acf_latn	1.15712098	1.169902	1.011045535
acm_arab	1.550152569	4.06424	2.621832251
acr_latn	1.54049736	5.385722	3.496092976
acu_latn	1.435962607	1.919643	1.336833557
adj_latn	1.191613906	1.165121	0.9777672064
ady_cyrl	1.806684783	30.118938	16.67083173
aeb_arab	1.52771409	1.858873	1.216767595
aer_latn	2.347966904	2.782503	1.185069089
aeu_latn	1.872473772	1.726141	0.9218505625
aey_latn	1.196973783	1.363052	1.138748417
afb_arab	1.374141124	20.160317	14.67121291
afr_latn	1.03722598	5345.560956	5153.709083
agd_latn	1.482487257	1.446305	0.975593546
agg_latn	1.909032936	1.892206	0.991185623
agm_latn	2.530698727	2.685314	1.061095883
agn_latn	1.409972343	1.255802	0.8906571865
agr_latn	1.243886997	2.756436	2.215985863
agt_latn	1.412402002	1.331282	0.9425659254
agu_latn	1.454138191	3.554212	2.444205112
aia_latn	1.384452927	1.309675	0.9459873821
aii_syrc	1.896699504	2.102863	1.108695919
aka_latn	1.574942782	83.773659	53.19155716
ake_latn	1.375145711	1.293422	0.9405708716
akh_latn	1.974444013	2.059839	1.043250144
akp_latn	1.131448424	1.089559	0.9629771688
alp_latn	1.264327673	1.272953	1.006822066
alq_latn	1.476720532	1.400789	0.9485809736
als_latn	1.167247178	413.754199	354.4700788
alt_cyrl	1.856580455	23.914718	12.88105664
aly_latn	1.581854129	1.610049	1.017823939
ame_latn	2.212100295	2.03733	0.9209935031
amf_latn	1.169561839	1.095808	0.9369389146
amh_ethi	1.720917143	1918.499105	1114.812013
amk_latn	1.405705012	1.345745	0.9573452385
amm_latn	1.541674476	1.412634	0.9162984936
amn_latn	1.260110626	2.228809	1.768740739
amp_latn	1.463342552	1.442969	0.986077387
amr_latn	1.715478503	1.68423	0.9817843809
amu_latn	1.865289936	1.831764	0.982026421
ang_latn	1.289057339	9.69602	7.521791085
anv_latn	1.554227332	1.508094	0.9703175134
anw_latn	1.205181947	2.458757	2.040154191
any_latn	1.532182122	1.49258	0.9741531236
aoi_latn	1.434760602	1.303385	0.9084337823
aoj_latn	1.574274874	3.045082	1.934275933
aom_latn	1.767342461	1.64487	0.9307024735
aon_latn	1.789721378	1.832678	1.024001849
apb_latn	1.525677127	1.468488	0.9625155769
apc_arab	1.473448613	10.764865	7.305897813
ape_latn	1.729238189	3.605727	2.085153464
apn_latn	2.568499006	2.463168	0.9589912218
apr_latn	1.74664122	1.702283	0.9746037025
apu_latn	1.445422962	1.439123	0.9956414405
apw_latn	1.500740555	1.477467	0.984491953
apy_latn	1.501030834	4.959739	3.30422193
apz_latn	2.015894494	1.999028	0.9916332457
arb_arab	1.465017978	11617.62357	7930.021161
are_latn	1.471838358	1.360691	0.9244839915
arg_latn	1.192925647	57.223671	47.96918497
arl_latn	1.80293479	1.937608	1.074696662
arn_latn	1.340611643	2.350749	1.753489918
arq_arab	1.410136911	1.411663	1.001082228
ary_arab	1.541968925	4.015028	2.60383198
arz_arab	1.551170046	196.934662	126.9587835
asm_beng	2.526329303	950.852447	376.3770803
aso_latn	1.974631437	1.96678	0.9960238469
ast_latn	1.748880208	419.860669	240.0740011
ata_latn	1.535052913	1.818159	1.184427575
atb_latn	1.513174556	1.415176	0.93523645
atd_latn	1.562892277	1.589297	1.016894781
atg_latn	1.293442436	1.27165	0.9831515996
att_latn	1.63302096	1.6886	1.034034493
auc_latn	2.260160911	2.218304	0.9814805615
auu_latn	1.588980823	1.57363	0.9903392018
auy_latn	1.472642911	1.441588	0.9789121241
ava_cyrl	1.938794023	66.47053	34.28447231
avt_latn	1.439587667	1.502518	1.043714137
avu_latn	2.842291605	2.739484	0.9638293253
awa_deva	2.70147869	7.066323	2.615724131
awb_latn	1.357036411	1.339672	0.9872041672
aym_latn	1.213786361	38.546157	31.75695349
ayr_latn	1.097680523	31.803659	28.97351127
ayz_latn	1.350101712	1.367973	1.013236994
azb_arab	1.490422093	171.342642	114.9624947
azb_latn	1.047806907	3.982787	3.801069618
aze_arab	1.198662364	361.235634	301.3656264
aze_cyrl	1.818803281	35.813647	19.69077545
aze_grek	1.544387288	3.664425	2.372737091
aze_latn	1.29878361	4915.087868	3784.377805
aze_thaa	1.498563109	2.002517	1.336291403
azg_latn	2.008747229	2.0793	1.035122772
azj_latn	1.076115956	165.155808	153.4739887
azz_latn	1.940211652	2.004472	1.033120277
bak_cyrl	2.27194034	975.692263	429.453294
bak_latn	1.19129188	9.347874	7.846837667
bam_latn	1.256878532	16.932942	13.47221833
ban_latn	1.269543636	41.859793	32.97231527
bao_latn	1.632378688	1.559983	0.955650188
bar_latn	1.129561954	33.197205	29.38945038
bas_latn	1.358810039	1.549067	1.140017336
bba_latn	1.133009531	4.422999	3.903761512
bbb_latn	1.518513863	2.104078	1.38561659
bbc_latn	1.332303573	9.720359	7.295904027
bbr_latn	1.332104409	1.34651	1.010814161
bcc_arab	1.694173847	1.405985	0.8298941708
bch_latn	1.269173276	1.722182	1.356932133
bcl_latn	1.218848876	13.296949	10.90943206
bco_latn	2.112813421	2.35559	1.114906776
bcw_latn	1.885385477	1.77392	0.940879211
bdd_latn	1.485481475	1.391023	0.9364122161
bdh_latn	1.982537542	2.228507	1.124067995
bds_latn	1.488873397	1.381084	0.9276033831
bdv_orya	3.201673105	2.866705	0.8953771687
bef_latn	1.643180727	1.709178	1.040164342
bel_cyrl	2.007901403	5237.322528	2608.356426
bem_latn	1.155237492	41.688386	36.08642057
ben_beng	2.430759774	4501.803839	1852.015114
ben_latn	1.182569495	1.086948	0.9191409088
beo_latn	1.239311101	4.784321	3.860468123
ber_latn	1.250823658	41.405812	33.10283726
bew_cyrl	1.740538562	41.949772	24.10160448
bew_latn	1.300925888	17.337753	13.32724112
bex_latn	1.461468309	1.85937	1.272261594
bfd_latn	1.760574615	1.743354	0.9902187531
bfz_deva	2.426879386	2.295412	0.945828628
bgc_deva	2.517583598	2.455557	0.9753626461
bgg_latn	1.252087952	1.224634	0.9780734636
bgp_latn	1.288416545	8.660593	6.721889001
bgs_latn	1.408326667	1.628774	1.156531392
bgt_latn	1.43079701	1.405267	0.9821567911
bhd_deva	2.712923133	2.531161	0.9330013701
bhl_latn	1.885303193	2.231625	1.18369555
bho_deva	2.515275311	64.224622	25.5338339
bht_deva	2.730591301	2.654533	0.9721458495
bib_latn	1.161324313	1.189331	1.024116163
